target,method,Z2,A2,I2_eV,density,I2_source,I2_imputed_elems,validated_by_physics,n_records,n_e_1e23
Propanol,name_map,2.833333333333333,5.008000000000001,58.74854343736146,,additivity,0.0,False,2,
Propyl alcohol,name_map,2.833333333333333,5.008000000000001,58.74854343736146,,additivity,0.0,False,164,
Propylene,name_map,2.6666666666666665,4.675666666666666,54.94096195884245,,additivity,0.0,False,148,
Propylene oxide,name_map,3.2,5.808,63.00182002322943,,additivity,0.0,False,18,
Propylene sulfide,name_map,4.0,7.4141,88.31749807933487,,additivity,0.0,False,18,
Propyne,name_map,3.1428571428571432,5.723571428571429,60.4511961008397,,additivity,0.0,False,15,
Pt,element,78.0,195.084,790.0,,additivity,0.0,False,499,
Rb,element,37.0,85.468,363.0,,additivity,0.0,False,80,
Re,element,75.0,186.207,736.0,,additivity,0.0,False,111,
Rh,element,45.0,102.906,449.0,,additivity,0.0,False,29,
Ru,element,44.0,101.07,441.0,,additivity,0.0,False,25,
SF6,formula,10.0,20.863999999999997,127.40076899999485,,additivity,0.0,False,20,
SO2,formula,10.666666666666666,21.352666666666668,130.76696830622015,,additivity,0.0,False,13,
Sb,element,51.0,121.76,487.0,,additivity,0.0,False,77,
Sc,element,21.0,44.956,216.0,,additivity,0.0,False,42,
Sc2O3,formula,13.2,27.5818,160.22626095966197,,additivity,0.0,False,5,
Se,element,34.0,78.971,348.0,,additivity,0.0,False,136,
Si,element,14.0,28.085,173.0,,additivity,0.0,False,2359,
Si3N4,formula,10.0,20.04042857142857,128.33739001215127,,additivity,0.0,False,559,
SiC,formula,10.0,20.048000000000002,136.22620337421245,,additivity,0.0,False,753,
SiO2,formula,10.0,20.02766666666667,125.66300406107568,,additivity,0.0,False,5356,
Sm,element,62.0,150.36,574.0,,additivity,0.0,False,54,
SmF3,formula,22.25,51.8385,352.44726621059925,,additivity,0.0,False,11,
Sn,element,50.0,118.71,488.0,,additivity,0.0,False,380,
SnO2,formula,22.0,50.236000000000004,328.1933901532242,,additivity,0.0,False,5,
Sr,element,38.0,87.62,366.0,,additivity,0.0,False,80,
SrTiO3,formula,16.8,36.696799999999996,221.1850099831821,,additivity,0.0,False,37,
Styrene,name_map,3.5,6.509499999999999,63.84459269787857,,additivity,0.0,False,13,
Ta,element,73.0,180.948,718.0,,additivity,0.0,False,815,
Ta2O5,formula,26.571428571428573,63.12728571428572,464.7517545524322,,additivity,0.0,False,1048,
TaB,formula,39.0,95.879,621.7338569701174,,additivity,0.0,False,4,
